AAMP,ALL AMERICAN METAL PRODUCTS INC,,,,,
AAMR,AMERICAN ARMORED TRANSPORT INC,,,,,
AAMS,AACTION MOVING & STORAGE,,,,,
AAMV,ALL ABOUT MOVING,,,,,
AAMX,INGENIERIA Y DESARROOLLO EN EQUIPO,,,,,
AANB,AAAA ANBER MOVING & STORAGE INC,,,,,
AANC,A & C TRANSPORT,,,,,
AANG,ALTMAN TRUCKING LLC,,,,,
AANI,ACME ANIMAL,,,,,
AANK,A & N TRUCKING LLC,,,,,
AANL,A-ONE (A-1) TRANSPORT LLC,,,,,
AANM,ALL AMERICAN MOVING SERVICES NM,,,,,
AANN,ACS TRANSPORTATION AND SHIPPING SER,,,,,
AANO,AIRGAS NORPAC INC,,,,,
AANQ,ANATOLI INC,,,,,
AANR,AACTION MOVING & STORAGE,,,,,
AANS,ACTCO AFGHAN CONTAINER TRANSPORT CO,,,,,
AANT,ALIANT,,,,,
AANV,ANN ARBOR TECHNICAL SERVICES INC,,,,,
AANY,AAA CONTAINER SALES AND RENTALS LLL,,,,,
AAOA,A AMATO INC,,,,,
AAOC,ALL CITY AIR AND OCEAN INC,,,,,
AAOE,AMALIAS SHOES INC,,,,,
AAOG,AGENCIA ADUANAL OCHOA GOPY,,,,,
AAOI,AAON INCORPORATED,,,,,
AAON,ALPHA AND OMEGA TRANSPORTATION SERV,,,,,
AAOP,A & A LOGISTICS GROUP,,,,,
AAOQ,A & A OF ILLINOIS INC,,,,,
AAOT,ACTION AIRPORT EXPRESS INC,,,,,
AAOY,ATTALA OIL CO INC,,,,,
AAPA,ASIAN AMERICAN TRANSPORTATION,,,,,
AAPB,ALLIANCE AIR PRODUCTS LLC,,,,,
AAPD,ARMENTA PRODUCE,,,,,
AAPF,ATW PORT TRANSPORT SERVICES LLC,,,,,
AAPG,AAA PRO MOVING & STORAGE INC,,,,,
AAPJ,ASA APPLE INC,,,,,
AAPL,AAPEX MESSENGER & DELIVERY SERVICE,,,,,
AAPM,ATLANTIC & PACIFIC MOVING CO INC,,,,,
AAPO,AAPO CARRIERS INCORPORATED,,,,,
AAPP,AMERICAN APPAREL,,,,,
AAPQ,AMERICAN ASPHALT CO,,,,,
AAPS,ASAP LOGISTICS LLC,,,,,
AAPT,ACTIVE AERO PTM LCC,,,,,
AAPV,AMERICAN ASPHALT PAVING CO,,,,,
AAQA,AAA GAS COMPANY,,,,,
AAQG,ALL AMERICAN CARRIERS INC,,,,,
AAQI,A & A LOGISTICS INC,,,,,
AAQL,ADAME LOGISTICS INC,,,,,
AAQN,ALSIRA CARRIERS INC,,,,,
AAQP,ADAMS & ADAMS TRUCKING,,,,,
AAQS,AAA MOVING AK,,,,,
AAQT,"ACOSTA, A",,,,,
AAQV,ALL AMERICAN SERVICES,,,,,
AARA,"ALVARADO, ARTURO",,,,,
AARB,"ADAMS, ROBERT",,,,,
AARC,ANTONY ARCHITECTURAL STONE,,,,,
AARD,ALTAIR LOGISTICS LTD,,,,,
AARE,A & R CARRIER LLC,,,,,
AARF,AMERFORD AIR CARGO,,,,,
AARI,ALL AMERICAN RELOCATION INC,,,,,
AARK,AARKEL TOOL AND DIE INC,,,,,
AARL,AAA REPAIRS LIMITED,,,,,
AARO,AARCO EQUIPMENT INC,,,,,
AARP,A A R TRUCKING CORP,,,,,
AARQ,AMARIA INC,,,,,
AARR,AARON TRANSPORTATION,,,,,
AARS,ALASKA AIR TOURS INC,,,,,
AART,AARON TRANSPORTATION,,,,,
AARU,ARSHIYA RAIL INFRASTRUCTURE LIMITED,,,,,
AARV,AARO MOVING SYSTEM INC,,,,,
AARX,ASSN OF AMERICAN RR - U.S. PRIVATE,,,,,
AASA,AUTOTRANSPORTES ATSA,,,,,
AASB,AA AUTO SALVAGE INC,,,,,
AASC,AAA STORAGE COMPANY INC,,,,,
AASI,APEX APPAREL SERVICES INC,,,,,
AASK,ARTYS AIR SERVICE,,,,,
AASM,AASLAND MUSEUM TAXIDERMY,,,,,
AASN,ALTMAN SERVICES INC,,,,,
AASO,A A STAR TRANSFER CO INC,,,,,
AASP,ADVANTAGE ASPHALT PRODUCTS,,,,,
AASQ,A & A MOVING & STORAGE,,,,,
AAST,ASSOCIATED ASPHALT TRANSPORT LLC,,,,,
AASV,AA SUPERIOR INC,,,,,
AASW,AUSTRIAN STYLE WOOD WORK LTD,,,,,
AASX,ALTASTEEL LTD,,,,,
AATC,ARA TRANSFER,,,,,
AATD,ATW ACCESS TRUCKING AND WAREHOUSING,,,,,
AATF,AAA TRANSFER & STORAGE INC,,,,,
AATG,A & T TRUCKING COMPANY LLC,,,,,
AATJ,ACCESS AMERICA TRANSPORT,,,,,
AATK,A & A TRUCKING,,,,,
AATM,AARDVARK TRACTOR & MACHINE LTD,,,,,
AATN,A & A TRANSPORTATION,,,,,
AATO,ANBRIEL AMERICAN TRANSPORT,,,,,
AATQ,"ADAMS, A TRUCKING INC",,,,,
AATT,ALL AREA TRANSPORT INC,,,,,
AATV,ALL ALASKA THRU VAN INC,,,,,
AATW,AAA TRUCKING AND WAREHOUSING CORPOR,,,,,
AATX,AMPACET CORPORATION,,,,,
AAUC,AA AUTO CARE,,,,,
AAUH,ALEX AUTOPARTES,,,,,
AAUJ,ANDRETTI AUTOSPORT 4,,,,,
AAUL,ANDRETTI AUTOSPORT 2,,,,,
AAUO,ANDRETTI AUTOSPORT 1,,,,,
AAUP,ANDRETTI AUTOSPORT 3,,,,,
AAUR,ADVANCED AUTO TRANSPORT INC,,,,,
AAUT,ALICES AUTO TRANSPORT LLC,,,,,
AAUY,A-ACCURATE MOVING COMPANY,,,,,
AAVA,AMERICAN VANPAC VAN LINES LTD,,,,,
AAVB,"ABRAHAMSON, ANDREW V",,,,,
AAVC,AAC PERISHABLES LOGISTICS INC,,,,,
AAVG,A A AMERICAN MOVING & STORAGE INC,,,,,
AAVH,ALL AMERICAN MOVING SERVICES,,,,,
AAVI,AMERICAN AUDIO VISUAL INC,,,,,
AAVJ,AUTOTRANSPORTES AGUILAR V,,,,,
AAVL,ANCHOR ADVANTAGE LLC,,,,,
